	CGM_0	CGM_1	CGM_2	CGM_3
3eb51a70-fec9-4f37-9f16-ac74229f68e9	2.680101610249208	3.569934547790615	2.4220981594725353	2.4218668881942653
9d85ecd9-deef-474f-8dca-7fbbee531e7f	2.52886820241217	5.515931515429363	2.46987703377292	2.214474064415061
90fb6b38-0bc5-47ea-8142-d329503615fe	3.040748081932354	3.215600889771095	2.2613795870260756	1.9390044815071779
e6c6d387-dbaa-441a-a0d4-84e355926bcf	2.5074146389122607	2.775215969294295	3.312051773947617	4.350124782470924
ca6e88bc-2456-4987-beb0-d3700e7e71dc	2.045889990174786	3.3125297496286352	4.094645239474716	3.2322173882741767
f969aca2-3b08-4fbd-beea-82b5f1c7f981	2.693847499326301	3.4387488190652404	3.4230625254998936	1.8074183886315804
bc89c589-8a4f-4df9-963b-9d7a2cdedbdd	3.93158362522939	2.1746385443958376	2.2718928320813165	2.6377298188276423
57b8b640-efcf-426f-bc01-82c4c58ff02c	3.3973157082067886	3.0105504852216907	2.680548235444579	1.9602387207331609
07355e77-912a-458c-abb0-01533f5d4a9e	3.136536180496436	1.8872069449500242	1.9242386453420035	2.2116062320092373
a4301a19-9d37-4298-bf6f-08d72f083e40	2.3994742431482954	3.4852938608866775	3.4646689879927846	3.0017870044097554
4d99171a-0545-4eb4-b99a-ee0d4db75920	3.2816386591532583	2.6004973873159534	3.185471907859229	4.525929099368871
d7340acb-9a98-4153-9766-a6748933441d	3.782658112588508	1.7180432172376245	2.4662115267353713	3.1570033676518805
d675b344-9a99-4ebc-8297-397bf1674e25	3.876607541036636	1.833587095585914	3.3196288790164052	2.464978518144943
2df2d356-db5d-4c2c-b0e7-8ee7bc25e68c	3.054895988047698	2.505406975567787	2.6501376163023065	3.6486137307493167
5916b276-8e9d-41e6-8c41-3030c48cbdce	4.261372281967867	2.4271140250225876	3.0761348652678855	1.8420465341261962
5e5d8a76-04b4-4946-8715-6b61ac46783f	3.9418625549436306	1.4049482298021956	1.4180255509237325	1.3202447230197716
fdd30c10-1cff-49c4-8acc-a1fc9f3dda83	4.426171620521248	1.7667550448263116	1.4987151012926376	1.31861096280258
