source	signature	M	K	n	k	p	overlap_genes	fdr	module
xCell	CD8+ Tcm_HPCA_3	1200	147	7	6	1.9414483298936225e-05	CD3E|CD8A|GZMA|GZMH|LAG3|RGS1	4.9229582650874006e-05	2
xCell	Basophils_NOVERSHTERN_1	1200	147	7	6	1.9414483298936225e-05	GNLY|GPR183|GZMB|GZMH|NKG7|RGS1	4.9229582650874006e-05	2
xCell	Macrophages_HPCA_3	1200	147	7	6	1.9414483298936225e-05	ADAMDEC1|CYBB|LILRB4|MARCO|MS4A4A|VSIG4	4.9229582650874006e-05	2
xCell	Macrophages M2_BLUEPRINT_1	1200	147	5	5	2.596893534234536e-05	ADAMDEC1|LILRB4|MARCO|MS4A4A|VSIG4	4.9832281332608665e-05	2
xCell	NK cells_HPCA_1	1200	147	5	5	2.596893534234536e-05	GZMB|GZMH|LAG3|NKG7|PRF1	4.9832281332608665e-05	2
xCell	CD8+ Tcm_NOVERSHTERN_1	1200	147	5	5	2.596893534234536e-05	CD3E|CD7|CD8A|GNLY|LAG3	4.9832281332608665e-05	2
xCell	CD8+ Tcm_NOVERSHTERN_2	1200	147	5	5	2.596893534234536e-05	CD3E|CD7|CD8A|GNLY|LAG3	4.9832281332608665e-05	2
xCell	DC_IRIS_3	1200	147	5	5	2.596893534234536e-05	C1QB|CCL13|CCL18|FPR3|HLA-DQA1	4.9832281332608665e-05	2
xCell	B-cells_NOVERSHTERN_2	1200	147	5	5	2.596893534234536e-05	CD53|CD79A|HLA-DOA|HLA-DPB1|PLA2G2D	4.9832281332608665e-05	2
xCell	DC_FANTOM_1	1200	147	5	5	2.596893534234536e-05	C1QA|C1QB|CCL13|FPR3|TREM2	4.9832281332608665e-05	2
xCell	CD4+ Tem_HPCA_1	1200	147	5	5	2.596893534234536e-05	CD2|CD3E|CD52|RGS1|SELPLG	4.9832281332608665e-05	2
