source	signature	M	K	n	k	p	overlap_genes	fdr	fgm
xCell	MPP_FANTOM_1	1200	133	8	4	0.00708337486443701	CD52|NKG7|PTPRC|SELPLG	0.00985513024617323	1
xCell	B-cells_NOVERSHTERN_2	1200	133	5	3	0.0112627492214898	CD53|CD79A|PLA2G2D	0.0153365095781989	1
xCell	Hepatocytes_FANTOM_1	1200	133	34	6	0.165894011769433	APOE|CD14|SERPINA1|SERPING1|TMEM176A|TMEM176B	0.221192015692577	1
xCell	CMP_HPCA_1	1200	133	7	2	0.176800371298002	C1QB|CCL18	0.230922933940247	1
xCell	Hepatocytes_FANTOM_3	1200	133	30	5	0.232347860538086	APOE|SERPINA1|SERPING1|TMEM176A|TMEM176B	0.29740526148875	1
xCell	Hepatocytes_FANTOM_2	1200	133	34	5	0.322023922250615	APOE|SERPINA1|SERPING1|TMEM176A|TMEM176B	0.404108451451752	1
xCell	Basophils_FANTOM_2	1200	133	11	2	0.348905798572313	ADAMDEC1|MS4A4A	0.42942252131977	1
xCell	Hepatocytes_HPCA_2	1200	133	22	3	0.44772228953333	APOE|SERPINA1|SERPING1	0.540645783587418	1
xCell	Smooth muscle_HPCA_3	1200	133	6	1	0.506576126169586	CCL8	0.600386519904694	1
xCell	Hepatocytes_HPCA_3	1200	133	25	3	0.53625135176248	APOE|SERPINA1|SERPING1	0.624001572959977	1
xCell	Memory B-cells_BLUEPRINT_1	1200	133	7	1	0.561538751981516	CD79A	0.641758573693161	1
xCell	Hepatocytes_HPCA_1	1200	133	28	3	0.616292944251012	APOE|SERPINA1|SERPING1	0.691978042667802	1
xCell	pro B-cells_HPCA_2	1200	133	11	1	0.726902154401164	LILRB4	0.802098928994388	1
xCell	Neurons_ENCODE_2	1200	133	18	1	0.88122558821375	IFI44	0.955905722808136	1
xCell	Keratinocytes_FANTOM_1	1200	133	62	1	0.999439698656092	MMP9	0.999439698656092	1
xCell	Keratinocytes_FANTOM_2	1200	133	44	1	0.994854168527264	MMP9	0.999439698656092	1
xCell	Keratinocytes_FANTOM_3	1200	133	46	1	0.99597058248346	MMP9	0.999439698656092	1
xCell	Mesangial cells_FANTOM_1	1200	133	40	2	0.948246338683864	BST2|IL32	0.999439698656092	1
xCell	Mesangial cells_FANTOM_3	1200	133	53	2	0.986447087016575	IL32|TNFSF10	0.999439698656092	1
BostonGene	Effector_cells	1200	133	5	5	1.56295816344175e-05	CD8A|GNLY|GZMA|GZMB|PRF1	7.81479081720875e-05	1
BostonGene	T_cell_traffic	1200	133	6	5	8.54068352073191e-05	CCL4|CCL5|CXCL10|CXCL11|CXCL9	0.000213517088018298	1
BostonGene	MDSC	1200	133	5	3	0.0112627492214898	CYBB|IDO1|IL4I1	0.018771248702483	1
BostonGene	MDSC_traffic	1200	133	6	1	0.506576126169586	CSF1R	0.633220157711982	1
BostonGene	Matrix_remodeling	1200	133	9	1	0.653888250989645	MMP9	0.653888250989645	1
